"","ID_Point","Latitude","Longitude","Name","Description","Rich","sub9","Name_fish","Year_sampling","LUyear0.sub9","LUyear0.mont","Duration_70","Duration_50","Duration_30","NanosLU"
"P0424","P0424",-19.312146,-47.523249,"NP15048","Fish_Cerrado_MG",3,81,"P0424",2011,86.92112078,89.48862778,26,26,26,26
"P0425","P0425",-19.274624,-47.578219,"NP1524","Fish_Cerrado_MG",3,81,"P0425",2011,86.92112078,93.3972741,26,26,26,26
"P0427","P0427",-19.231504,-47.149664,"NP7308","Fish_Cerrado_MG",5,82,"P0427",2011,72.83035124,14.13427562,26,26,26,26
"P0428","P0428",-19.247063,-47.139254,"NP9611","Fish_Cerrado_MG",6,82,"P0428",2011,72.83035124,83.51453856,26,26,26,26
"P0441","P0441",-18.96551,-50.049389,"SS0038","Fish_Cerrado_MG",15,77,"P0441",2011,83.30518374,80.40418259,26,26,26,26
"P0444","P0444",-18.971853,-49.698615,"SS0053","Fish_Cerrado_MG",2,76,"P0444",2011,82.26111428,84.47959652,26,26,26,26
"P0445","P0445",-18.978665,-49.911258,"SS0057","Fish_Cerrado_MG",5,77,"P0445",2011,83.30518374,93.45193971,26,26,26,26
"P0450","P0450",-18.837748,-50.006148,"SS0105","Fish_Cerrado_MG",13,77,"P0450",2011,83.30518374,86.88924037,26,26,26,26
"P0455","P0455",-18.983432,-49.775918,"SS0149","Fish_Cerrado_MG",12,76,"P0455",2011,82.26111428,85.44528446,26,26,26,26
"P0461","P0461",-18.952621,-49.784595,"SS0213","Fish_Cerrado_MG",11,76,"P0461",2011,82.26111428,87.6172285,26,26,26,26
"P0472","P0472",-18.459969,-44.990179,"TM0027","Fish_Cerrado_MG",2,88,"P0472",2011,47.32462191,74.35033163,0,26,26,26
"P0474","P0474",-19.237036,-45.371235,"TM0033","Fish_Cerrado_MG",3,85,"P0474",2011,70.82908347,39.62148962,9,26,26,26
"P0476","P0476",-18.404963,-44.98985,"TM0043","Fish_Cerrado_MG",9,89,"P0476",2011,35.66431317,62.57459506,0,0,8,26
"P0477","P0477",-19.076318,-45.164636,"TM0058","Fish_Cerrado_MG",5,86,"P0477",2011,71.14262819,45.78512397,1,26,26,26
"P0478","P0478",-18.439856,-45.671266,"TM0072","Fish_Cerrado_MG",8,90,"P0478",2011,44.04634522,64.39803242,0,0,26,26
"P0480","P0480",-18.542022,-45.611535,"TM0088","Fish_Cerrado_MG",3,90,"P0480",2011,44.04634522,60.08503853,0,0,26,26
"P0481","P0481",-19.193392,-45.206606,"TM0090","Fish_Cerrado_MG",2,85,"P0481",2011,70.82908347,46.12152553,9,26,26,26
"P0482","P0482",-18.516502,-45.018787,"TM0091","Fish_Cerrado_MG",6,88,"P0482",2011,47.32462191,43.6672922,0,26,26,26
"P0486","P0486",-19.2274,-45.237008,"TM0133","Fish_Cerrado_MG",3,85,"P0486",2011,70.82908347,73.7878893,9,26,26,26
