pto;ID_Name;Latitude;Longitude
P0429;Fish_Cerrado_MG;-19.595857;-46.927844
P0430;Fish_Cerrado_MG;-18.738912;-50.83651
P0432;Fish_Cerrado_MG;-18.358483;-49.362826
P0438;Fish_Cerrado_MG;-19.027611;-49.908954
P0440;Fish_Cerrado_MG;-18.825997;-49.697588
P0443;Fish_Cerrado_MG;-18.206769;-50.033928
P0446;Fish_Cerrado_MG;-18.373072;-50.551812
P0447;Fish_Cerrado_MG;-18.677803;-49.629902
P0448;Fish_Cerrado_MG;-18.716668;-50.781318
P0452;Fish_Cerrado_MG;-19.036572;-49.963256
P0453;Fish_Cerrado_MG;-19.06999;-49.635862
P0454;Fish_Cerrado_MG;-18.301672;-49.93072
P0455;Fish_Cerrado_MG;-18.983432;-49.775918
P0456;Fish_Cerrado_MG;-18.921649;-50.099015
P0457;Fish_Cerrado_MG;-18.815331;-49.509978
P0459;Fish_Cerrado_MG;-18.381226;-50.661859
P0460;Fish_Cerrado_MG;-18.244817;-50.097041
P0465;Fish_Cerrado_MG;-18.408353;-50.663775
P0466;Fish_Cerrado_MG;-18.678434;-49.613684
P0467;Fish_Cerrado_MG;-18.960155;-49.470701
P0468;Fish_Cerrado_MG;-18.491776;-49.480439
P0469;Fish_Cerrado_MG;-18.754217;-44.958474
P0470;Fish_Cerrado_MG;-18.918413;-44.667792
P0471;Fish_Cerrado_MG;-18.847152;-45.564563
P0473;Fish_Cerrado_MG;-18.987939;-45.699053
