ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Acestrorhynchus_lacustris,Apareiodon_piracicabae,Aspidoras_fuscoguttatus,Astyanax_altiparanae,Astyanax_fasciatus,Astyanax_paranensis,Astyanax_bockmanni,Bryconamericus_stramineus,Callichthys_callichthys,Cetopsorhamdia_iheringi,Characidium_gomesi,Characidium_lagossantense,Characidium_zebra,Cichlasoma_paranaense ,Corydoras_aeneus,Crenicichla_britskii,Cyphocharax_modestus,Cyphocharax_vanderi,Eigenmannia_virescens,Erythrinus_erythrinus,Geophagus_brasiliensis,Gymnotus_sylvius,Gymnotus_inaequilabiatus,Hemigrammus_marginatus,Hisonotus_francirochai,Hoplosternum_littorale,Hoplias_malabaricus,Hypostomus_ancistroides,Hyphessobrycon_anisitsi ,Hyphessobrycon_eques,Hypostomus_nigromaculatus,Imparfinis_schubarti,Knodus_moenkhausii,Laetacara_aff_araguaiae,Leporinus_friderici,Leporinus_lacustris ,Leporinus_paranensis,Lepthoplosternum_pectorale,Leporinus_striatus,Moenkhausia_sanctaefilomenae,Oligosarcus_pintoi,Oreochromis_niloticus,Pamphorichthys_hollandi,Parodon_nasus,Phalloceros_harpagos,Phenacorhamdia_tenebrosa,Piabina_argentea,Pimelodella_avanhandavae ,Planaltina_britskii ,Poecilia_reticulata ,Prochilodus_lineatus ,Pseudopimelodus_pulcher,Pyrrhulina_australis ,Rhamdia_quelen,Rivulus_pictus,Satanoperca_pappaterra,Serrapinnus_heterodon,Serrapinnus_notomelas,Serrasalmus_maculatus,Serrasalmus_marginatus,Steindachnerina_insculpta,Synbranchus_marmoratus,Tilapia_rendalli 
P1230,-20.155,-50.437556,045TUG,Fish_MAtlantica_SP,170,59.61,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,3,7,0,0,0,0,349,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,4,0,1,0,0,0,0,0
P1231,-20.168472,-50.492833,046TUG,Fish_MAtlantica_SP,170,69.28,0,0,9,16,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,3,0,0,0,0,2,0,0,0,0,0,18,84,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,86,0,0,0,0,0
P1232,-20.128806,-50.491361,047TUG,Fish_MAtlantica_SP,170,95.04,0,0,14,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,5,0,0,0,0,0
P1233,-20.142444,-50.379861,048TUG,Fish_MAtlantica_SP,170,90.79,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,2,1,0,0,1,0,0,74,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,3,0,12,0,0,0,0,0
P1234,-20.222111,-50.687722,049TUG,Fish_MAtlantica_SP,170,85.01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0
P1235,-20.196778,-50.638583,050TUG,Fish_MAtlantica_SP,170,99.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,103,0,0,0,1,0,0,0,0,0,0,0,0,0
P1236,-20.144167,-50.732611,051TUG,Fish_MAtlantica_SP,170,72.31,0,0,0,8,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
P1237,-20.056944,-50.688917,052TUG,Fish_MAtlantica_SP,170,88.95,0,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49,29,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
P1238,-19.991417,-50.622083,053TUG,Fish_MAtlantica_SP,170,100,0,0,3,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
P1239,-20.143028,-50.775917,054TUG,Fish_MAtlantica_SP,170,97.51,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1,8,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,1,6,10,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0
P1240,-20.133389,-50.815778,055TUG,Fish_MAtlantica_SP,170,100,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P1241,-20.079306,-50.941194,056TUG,Fish_MAtlantica_SP,170,99.43,0,0,29,12,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,18,20,0,0,0,0,1,20,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,39,0,0,0,0,0,0,0,0,0
P1242,-20.103306,-49.923278,057TUG,Fish_MAtlantica_SP,170,94.89,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0
P1243,-20.190917,-49.86775,058TUG,Fish_MAtlantica_SP,170,92.96,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,0,0,0,2,0,0,0,8,0,0,0,0,0
